antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,ante_len,cons_len
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Weak Fastball Group (Bad FF)'})",frozenset({'outcome_single'}),0.12262309194041782,0.14526616758642952,0.01783161422224955,0.14541807697129247,1.001045731345343,1.0,1.862759846666187e-05,1.000177758715425,0.0011906387369775237,0.07131001413905454,0.0001777271228798745,0.1340846998613076,2,1
"frozenset({'pitcher_arch_League-Average Pitch Quality', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.07599956958172567,0.14526616758642952,0.011021782239097352,0.1450242718446602,0.9983348101916065,1.0,-1.8383972258119788e-05,0.9997170729720114,-0.0018019058386944803,0.05242377714411056,-0.00028300709834574707,0.11044864385883804,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Cutter Aces (Elite FC)'})",frozenset({'outcome_single'}),0.01614068528738106,0.14526616758642952,0.002336556346363734,0.14476190476190476,0.9965286974048879,1.0,-8.13914755277978e-06,0.9994103831116359,-0.003528050067090588,0.01468882875918052,-0.0005899647415392905,0.08042328042328042,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Weak Breaking Ball Group (Bad SL)'})",frozenset({'outcome_double'}),0.05841390865909336,0.04856040459317787,0.0027516025394678186,0.04710526315789473,0.9700344046250479,1.0,-8.500049888669108e-05,0.998472925309562,-0.031765542211232824,0.026401179941002953,-0.0015294102140671769,0.05188438213292014,2,1
"frozenset({'pitcher_arch_Weak Breaking Ball Group (Bad SL)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_double'}),0.01690928934868492,0.04856040459317787,0.0007839761425299371,0.046363636363636364,0.9547621514288182,1.0,-3.714578962531569e-05,0.9976964298832263,-0.045980168480168566,0.01211977186311787,-0.0023088888040256497,0.031253992920659585,2,1
"frozenset({'pitcher_arch_League-Average Pitch Quality', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_double'}),0.07599956958172567,0.04856040459317787,0.003474090357093447,0.04571197411003236,0.9413425298448671,1.0,-0.00021647949070252538,0.9970151249875643,-0.06317727521993338,0.02869112606322204,-0.0029938111645727338,0.058626800603607504,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Changeup Specialists (Elite CH)'})",frozenset({'outcome_double'}),0.01690928934868492,0.04856040459317787,0.00076860406130386,0.045454545454545456,0.9360413249302139,1.0,-5.2517870851392814e-05,0.996746242807147,-0.0649872803298342,0.011879306248515086,-0.003264378688490878,0.03064116953005842,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Fastball Generalists (Good FF + Good SI)'})",frozenset({'outcome_single'}),0.05231119241234071,0.14526616758642952,0.007101901526447666,0.13576256244490156,0.9345779867437229,1.0,-0.0004971449171693801,0.9890034789878887,-0.06878482702178672,0.03728512630134775,-0.01111878900907897,0.09232572566689523,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Fastball Generalists (Good FF + Good SI)'})",frozenset({'outcome_double'}),0.05231119241234071,0.04856040459317787,0.002336556346363734,0.044666470761093154,0.9198125743657465,1.0,-0.00020369632193110694,0.9959240058964675,-0.08424079733242675,0.023712948517940716,-0.00409267582606726,0.04639148166101508,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Slider Aces (Elite SL)'})",frozenset({'outcome_single'}),0.05684595637403348,0.14526616758642952,0.007393971069743132,0.1300703082747431,0.8953929909203031,1.0,-0.0008638231554980759,0.9825320833899234,-0.11021699585273005,0.03797268492934396,-0.01777846943156189,0.09048488958710701,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Four-Seam Aces (Elite FF Quality)'})",frozenset({'outcome_single'}),0.03535578681997756,0.14526616758642952,0.004596252286597082,0.13,0.8949089947089948,1.0,-0.0005397473667438533,0.9824526809351385,-0.10852475139329028,0.02611125665880709,-0.017860726939193914,0.08082010582010582,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Four-Seam Aces (Elite FF Quality)'})",frozenset({'outcome_double'}),0.12660446097797182,0.04856040459317787,0.005364856347900943,0.04237493929091792,0.8726232749895801,1.0,-0.0007831075004905682,0.9935408276620499,-0.14319682359712327,0.031595147564729316,-0.006501164479722047,0.0764264693289031,2,1
"frozenset({'pitcher_arch_Changeup Specialists (Elite CH)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.005902879190813644,0.14526616758642952,0.0006917436551734739,0.1171875,0.8067088293650794,1.0,-0.00016574498260170834,0.9681940756543099,-0.19421600877192974,0.004596996628869139,-0.03285077356437601,0.06097470238095238,2,1
"frozenset({'pitcher_arch_Slider Aces (Elite SL)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.01672482437397199,0.14526616758642952,0.0019522543157118042,0.11672794117647059,0.8035452653283536,1.0,-0.00047729682465121243,0.967690332638881,-0.1991308851922191,0.012198636058015562,-0.033388436642754135,0.06508354730781202,2,1
